plan nominal_pct complete_best_pct bits
tmr_46b1884167c4 9.619687 35.570470 4
tmr_d0bca111f862 10.290828 34.675615 0
tmr_038966de9f6b 10.290828 35.346756 2
tmr_080a9ed42855 10.290828 34.675615 1
